# nu	S
140.57 nan
154.53 nan
166.74 nan
169.2 nan
177.56 nan
182.46 nan
188.37 nan
200.1 nan
204.89 nan
215.2 nan
225.35 nan
249.98 nan
265.09 nan
272.59 nan
274.22 nan
286.83 nan
291.92 nan
307.81 nan
324.15 nan
336.29 nan
347.52 nan
354.75 nan
361.03 nan
366.21 nan
367.77 nan
375.78 nan
386.24 nan
389.03 nan
395.74 nan
712.42 nan
712.81 nan
715.44 nan
716.39 nan
732.03 nan
732.33 nan
737.51 nan
739 nan
869.26 nan
871.08 nan
876.16 nan
877.7 nan
1129.61 nan
1130.05 nan
1131.83 nan
1132.48 nan
1479.8 nan
1486.45 nan
1525.08 nan
1534.58 nan
1546.92 nan
1554.17 nan
1619.07 nan
1635.27 nan
63.24 nan
85.36 nan
96.96 nan
112.72 nan
124.43 nan
133.1 nan
139.06 nan
148.49 nan
160.39 nan
